season,fullName,TotalWickets,Overs,RunsConceded,AvgWickets,TotalMatches,MaxWickets,FoursConceded,SixesConceded,AvgEconomyRate,AvgRate,StrRate
2021,Shardul Thakur,21,59,527,1.3125,16,3,51,17,8.943124949932098,25.095238095238095,16.857142857142858
2018,Rashid Khan,21,68,458,1.2352941176470589,17,3,35,19,6.735294117647059,21.80952380952381,19.428571428571427
2017,Basil Thampi,11,44,424,0.9166666666666666,12,3,40,17,9.497500022252401,38.54545454545455,24.0
2017,Jaydev Unadkat,24,45,322,2.0,12,5,23,17,6.997499982515971,13.416666666666666,11.25
2013,Sreesanth,5,21,163,0.7142857142857143,7,2,20,6,8.107142857142858,32.6,25.2
2013,Ankeet Chavan,1,9,63,0.3333333333333333,3,1,4,4,6.996666590372722,63.0,54.0
2008,Musavir Khote,2,5,51,1.0,2,2,4,2,10.329999923706055,25.5,15.0
2022,Ravisrinivasan Sai Kishore,6,16,121,1.2,5,2,7,5,7.4,20.166666666666668,16.0
2021,Jayant Yadav,2,17,130,0.4,5,1,10,6,7.965999984741211,65.0,51.0
2019,Siddarth Kaul,6,27,242,0.8571428571428571,7,2,15,15,8.832857131958008,40.333333333333336,27.0
2019,Sandeep Warrier,2,12,85,0.6666666666666666,3,2,8,3,7.083333333333333,42.5,36.0
2016,Marcus Stoinis,8,23,194,1.1428571428571428,7,4,24,4,8.949999945504326,24.25,17.25
2016,Shane Watson,20,56,485,1.25,16,4,45,18,8.291875004768372,24.25,16.8
2015,Jagadeesha Suchith,10,39,337,0.8333333333333334,12,2,27,13,9.068333307902018,33.7,23.4
2014,Ravi Rampaul,1,6,37,0.5,2,1,4,1,7.25,37.0,36.0
2013,Piyush Chawla,11,58,418,0.6875,16,2,33,12,7.386249989271164,38.0,31.636363636363637
2013,Luke Wright,2,9,100,0.4,5,1,4,7,11.570000076293946,50.0,27.0
2012,Pradeep Sangwan,1,4,42,1.0,1,1,4,1,10.5,42.0,24.0
2009,Vinay Kumar,9,32,271,0.8181818181818182,11,2,27,7,8.407272685657848,30.11111111111111,21.333333333333332
2022,Pradeep Sangwan,3,9,65,1.0,3,2,9,0,7.96999994913737,21.666666666666668,18.0
2012,Rahul Sharma,9,37,300,0.8181818181818182,11,2,20,16,8.55181815407493,33.333333333333336,24.666666666666668
2011,Jamaluddin Syed Mohammad,5,15,127,1.0,5,2,7,7,9.15,25.4,18.0
2011,David Hussey,1,3,38,0.5,2,1,3,3,14.25,38.0,18.0
2010,Kieron Pollard,15,37,274,1.25,12,3,16,6,8.0,18.266666666666666,14.8
2022,Anrich Nortje,9,22,217,1.5,6,3,21,10,10.083333333333334,24.11111111111111,14.666666666666666
2020,Moeen Ali,1,5,42,0.3333333333333333,3,1,2,2,7.666666666666667,42.0,30.0
2016,Brad Hogg,4,16,142,0.8,5,3,13,5,9.45,35.5,24.0
2013,Yuvraj Singh,6,22,152,0.6,10,2,11,2,7.7,25.333333333333332,22.0
2013,Dhawal Kulkarni,8,18,151,1.3333333333333333,6,3,15,6,9.333333333333334,18.875,13.5
2010,Amit Uniyal,2,6,66,1.0,2,2,6,3,11.375,33.0,18.0
2010,Umesh Yadav,6,24,184,0.8571428571428571,7,2,25,2,8.0,30.666666666666668,24.0
2021,Lalit Yadav,4,14,101,0.8,5,2,5,3,7.913999938964844,25.25,21.0
2017,Deepak Chahar,1,7,74,0.3333333333333333,3,1,12,1,10.386666615804037,74.0,42.0
2017,Mohammed Shami,5,26,243,0.625,8,2,26,8,9.394999980926514,48.6,31.2
2016,Imran Tahir,5,16,138,1.25,4,3,7,8,8.625,27.6,19.2
2014,Jean-Paul Duminy,3,33,240,0.2727272727272727,11,2,14,8,7.476363615556196,80.0,66.0
2021,Krunal Pandya,5,33,265,0.4166666666666667,12,1,15,12,9.100833336512247,53.0,39.6
2017,Sreenath Aravind,5,30,275,0.5,10,2,25,12,10.228999996185303,55.0,36.0
2017,Lockie Ferguson,3,13,93,0.75,4,2,9,4,7.5625,31.0,26.0
2016,Jean-Paul Duminy,2,7,55,0.4,5,1,6,0,7.7,27.5,21.0
2014,Yuzvendra Chahal,12,55,386,0.8571428571428571,14,2,16,19,6.993571417672293,32.166666666666664,27.5
2013,Dwayne Bravo,32,62,497,1.7777777777777777,18,4,41,18,7.934444427490234,15.53125,11.625
2011,Iqbal Abdulla,16,50,305,1.0666666666666667,15,3,30,6,6.177333323160807,19.0625,18.75
2009,Aavishkar Salvi,4,17,134,0.8,5,2,10,6,8.231999969482422,33.5,25.5
2015,Stuart Binny,4,19,140,0.4,10,2,14,6,7.0,35.0,28.5
2014,Axar Patel,17,66,405,1.0,17,3,34,9,6.117647058823529,23.823529411764707,23.294117647058822
2014,Rishi Dhawan,13,47,365,1.0,13,2,25,11,7.911538490882287,28.076923076923077,21.692307692307693
2013,Kieron Pollard,10,31,292,0.7142857142857143,14,2,25,13,9.957857131958008,29.2,18.6
2008,Jacob Oram,3,16,149,0.75,4,3,17,5,9.3125,49.666666666666664,32.0
2008,Paidikalva Vijaykumar,4,25,199,0.4444444444444444,9,1,23,5,8.390000025431315,49.75,37.5
2021,Deepak Chahar,14,54,451,0.9333333333333333,15,4,56,13,8.559999974568685,32.214285714285715,23.142857142857142
2020,Navdeep Saini,6,45,379,0.46153846153846156,13,2,34,17,8.603846109830416,63.166666666666664,45.0
2020,Glenn Maxwell,3,21,169,0.42857142857142855,7,1,9,9,8.415714263916016,56.333333333333336,42.0
2017,Chris Woakes,17,44,386,1.3076923076923077,13,3,38,14,8.70999996478741,22.705882352941178,15.529411764705882
2010,Sanath Jayasuriya,2,9,68,0.5,4,2,5,2,9.8125,34.0,27.0
2010,Sarabjit Ladda,4,15,143,0.8,5,2,8,11,10.25,35.75,22.5
2010,Dwayne Bravo,4,26,228,0.4,10,2,19,9,8.438000011444093,57.0,39.0
2010,Dwayne Smith,1,3,36,0.5,2,1,6,0,10.880000114440918,36.0,18.0
2009,Tyron Henderson,1,6,40,0.5,2,1,5,0,6.25,40.0,36.0
2009,Muttiah Muralitharan,14,50,261,1.0769230769230769,13,3,19,6,5.255384610249446,18.642857142857142,21.428571428571427
